,Com_Ori,Com_Des,Mun_Ori,Mun_Des,Modo,Hora_Ini,Recur,Municipio,Per_hog,Turismos,Motos,Tipo_familia,Sexo,Edad,Actividad,crnt_tur,Año,Income,O_long,O_lat,D_long,D_lat
1503,Donostialdea,Donostialdea,Donostia/San Sebastian,Lasarte-Oria,Coche conductor,07:00,22,Donostia/San Sebastian,2,3,3,2 adultos con niño(s),1,5,1,1,2021,24223.07,-1.975307595530578,43.319202425284914,-2.033693,43.256347
1504,Debabarrena,Donostialdea,Deba,Oiartzun,Coche pasajero,06:00,22,Deba,1,1,1,Hogar de una persona,1,4,1,2,2021,23828.22,-2.354054783449295,43.29150402300109,-2.033693,43.256347
1505,Donostialdea,Donostialdea,Usurbil,Lezo,Coche pasajero,13:45,22,Lezo,1,2,2,Hogar de una persona,1,4,1,1,2021,23323.32,-2.0241915641407684,43.27608262263733,-2.033693,43.256347
1506,Donostialdea,Donostialdea,Lasarte-Oria,Donostia/San Sebastian,Coche conductor,09:00,99,Lasarte-Oria,1,2,1,Hogar de una persona,1,5,1,1,2021,26198.01,-2.0230065800124617,43.269172150768135,-2.033693,43.256347
1507,Donostialdea,Donostialdea,Donostia/San Sebastian,Errenteria,Coche conductor,18:45,22,Errenteria,1,2,1,Hogar de una persona,1,4,1,1,2021,24830.41,-1.9712491506598795,43.308635911876785,-2.033693,43.256347
1508,Bidasoa,Donostialdea,Irun,Donostia/San Sebastian,Moto,14:30,22,Donostia/San Sebastian,1,2,2,Hogar de una persona,1,5,1,1,2021,26805.41,-1.785876948024969,43.345107780520394,-2.033693,43.256347
1509,Tolosaldea,Donostialdea,Tolosa,Pasaia,Coche conductor,19:00,99,Errenteria,2,3,1,Otros hogares con niños,1,4,1,1,2021,22076.47,-2.074906549818703,43.1366385783348,-2.033693,43.256347
1510,Donostialdea,Donostialdea,Donostia/San Sebastian,Errenteria,Coche conductor,11:30,99,Errenteria,2,3,2,Otros hogares con niños,1,3,1,1,2021,21297.335,-2.015853996742563,43.304560943908406,-2.033693,43.256347
1511,Debabarrena,Donostialdea,Eibar,Usurbil,Coche conductor,12:00,22,Eibar,2,3,1,Otros hogares sin niños,2,3,1,1,2021,24278.035,-2.4754232685436555,43.18361321331904,-2.033693,43.256347
1512,Donostialdea,Donostialdea,Urnieta,Lasarte-Oria,Coche conductor,11:00,22,Lasarte-Oria,2,2,2,Otros hogares sin niños,1,4,1,1,2021,24409.86,-1.9922876572727088,43.23912544314311,-2.033693,43.256347
