stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_desc,stop_timezone,wheelchair_boarding,level_id,platform_code
101125-5924,5924.0,"Askatasunaren Hiribidea, 28",43.319479,-1.982405,,,0,,,,0,,
101125-461,461.0,"Urbieta Kalea, 20",43.317314,-1.98307,,,0,,,,0,,
101125-217,217.0,Mendeurrenaren Plaza - Centenario,43.31267,-1.980299,,,0,,,,0,,
101125-198,198.0,"Antso Jakitunaren Hiribidea, 26",43.308804,-1.979845,,,0,,,,0,,
101125-302,302.0,A̱orga Hiribidea - A̱orga Txiki I,43.289462,-1.998215,,,0,,,,0,,
101125-303,303.0,"A̱orga Hiribidea, 36 - A̱orga I",43.285301,-2.000082,,,0,,,,0,,
101125-358,358.0,"Taberna-Berri Cincuentenario, A̱orga",43.283414,-2.001568,,,0,,,,0,,
101125-359,359.0,"Errekalde Hiribidea, 51 - Tren Geltokia",43.278778,-2.006906,,,0,,,,0,,
101125-361,361.0,Donostia Etorbidea -Sasoeta Atsobakar,43.27249,-2.018124,,,0,,,,0,,
101125-383,383.0,"Kale Nagusia, 4",43.269707,-2.020128,,,0,,,,0,,
101125-212,212.0,"Kale Nagusia, 41 - Zumaburu",43.266091,-2.019533,,,0,,,,0,,
101125-384,384.0,"Kale Nagusia, 70",43.261674,-2.017854,,,0,,,,0,,
101125-353,353.0,"Zubieta Kalea, 14",43.317308,-1.9854,,,0,,,,0,,
101125-297,297.0,Mirakontxa Pasealekua-LA Perla,43.315255,-1.988456,,,0,,,,0,,
101125-675,675.0,"Zumalakarregi Hiribidea, 8",43.314844,-2.002175,,,0,,,,0,,
101125-355,355.0,Tolosa Hiribidea - Zubimusu Parkea,43.312862,-2.006104,,,0,,,,0,,
101125-346,346.0,Tolosa Hiribidea - Magisteritza,43.311295,-2.00925,,,0,,,,0,,
101125-421,421.0,"Tolosa Hiribidea, 70- Unibertsitatea",43.307049,-2.008727,,,0,,,,0,,
101125-356,356.0,"Tolosa Hiribidea, 112",43.304908,-2.006814,,,0,,,,0,,
101125-205,205.0,Tolosa Hiribidea 138,43.302238,-2.004219,,,0,,,,0,,
101125-301,301.0,"Camino DE Zubiberri, Casa Oramil (Donostia)",43.298895,-2.000846,,,0,,,,0,,
